state,frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1,0.000001,831,6,813,32,761,31856,443,60741,,
1,0.000001,70,6,52,32,0,65535,63735,443,,
1,0,831,6,813,32,761,31856,443,22820,,
1,0.000001,70,6,52,32,0,31856,443,55366,,
1,0.000003,1284,6,1266,32,1214,23168,443,22319,,
1,0.000002,70,6,52,32,0,30408,16682,443,,
1,-0.000001,1284,6,1266,32,1214,23168,443,2171,,
1,0.000001,74,6,56,32,0,5792,80,31516,,
1,0,70,6,52,32,0,65535,47157,443,,
1,0,70,6,52,32,0,7240,80,7269,,
1,0,70,6,52,32,0,23168,443,41796,,
1,0.000001,70,6,52,32,0,7240,80,38163,,
1,0.000003,1475,6,1457,32,1405,65535,1836,443,,
1,0.000002,70,6,52,32,0,24616,31456,443,,
1,0,693,6,675,32,623,27512,5045,443,,
1,0.000003,1518,6,1500,32,1448,7240,80,16141,,
1,0.000001,70,6,52,32,0,65535,443,23011,,
1,0,831,6,813,32,761,31856,443,61405,,
1,0.000001,167,6,149,32,97,7240,80,16141,,
1,0,70,6,52,32,0,65535,443,50919,,
1,0,70,6,52,32,0,23168,443,53527,,
1,-0.000001,1439,6,1421,32,1369,23168,31311,443,,
1,0.000001,74,6,56,32,0,5792,22249,80,,
1,0,70,6,52,32,0,5792,32892,80,,
1,0,70,6,52,32,0,28960,50332,443,,
1,0,70,6,52,32,0,31856,50461,443,,
1,0.000004,1518,6,1500,32,1448,7240,80,30231,,
1,0.000001,693,6,675,32,623,27512,41134,443,,
1,0,70,6,52,32,0,7240,80,56165,,
1,0,167,6,149,32,97,7240,80,30231,,
1,0.000001,831,6,813,32,761,31856,443,2890,,
1,0,70,6,52,32,0,31856,443,45885,,
1,0.000001,70,6,52,32,0,65535,443,35203,,
1,0.000001,70,6,52,32,0,65535,443,33326,,
1,-0.000001,1439,6,1421,32,1369,23168,54441,443,,
1,0.000001,70,6,52,32,0,31856,9414,443,,
1,0,70,6,52,32,0,24616,9615,443,,
1,0.000001,70,6,52,32,0,31856,16561,443,,
1,0.000001,70,6,52,32,0,24616,22319,443,,
1,0.000003,70,6,52,32,0,31856,60741,443,,
1,-0.000001,1518,6,1500,32,1448,7240,80,20473,,
1,0.000001,70,6,52,32,0,31856,443,35457,,
1,0,167,6,149,32,97,7240,80,20473,,
1,0.000001,470,6,452,32,400,65535,443,25234,,
1,0.000001,70,6,52,32,0,23168,443,45783,,
1,0,70,6,52,32,0,65535,443,37528,,
1,0,70,6,52,32,0,65535,56289,443,,
1,0,70,6,52,32,0,28960,20065,443,,
1,0.000004,70,6,52,32,0,65535,30961,443,,
1,0,70,6,52,32,0,65535,443,60318,,
1,0,70,6,52,32,0,31856,443,48451,,
1,0.000002,70,6,52,32,0,31856,443,16561,,
